Date;Time;LEVEL;TEMPERATURE;Station_ID
2020-06-12;00:01:00;-0.1457;3.798;HM3
2020-06-12;01:01:00;-0.1476;3.799;HM3
2020-06-12;02:01:00;-0.149;3.801;HM3
2020-06-12;03:01:00;-0.1498;3.803;HM3
2020-06-12;04:01:00;-0.1501;3.805;HM3
2020-06-12;05:01:00;-0.1494;3.809;HM3
2020-06-12;06:01:00;-0.1479;3.812;HM3
2020-06-12;07:01:00;-0.1464;3.817;HM3
2020-06-12;08:01:00;-0.1447;3.821;HM3
2020-06-12;09:01:00;-0.1427;3.823;HM3
2020-06-12;10:01:00;-0.139;3.826;HM3
2020-06-12;11:01:00;-0.1359;3.828;HM3
2020-06-12;12:01:00;-0.1224;3.83;HM3
2020-06-12;13:01:00;-0.1249;3.831;HM3
2020-06-12;14:01:00;-0.1274;3.833;HM3
2020-06-12;15:01:00;-0.1288;3.835;HM3
2020-06-12;16:01:00;-0.1307;3.836;HM3
2020-06-12;17:01:00;-0.1317;3.837;HM3
2020-06-12;18:01:00;-0.1335;3.838;HM3
2020-06-12;19:01:00;-0.1475;3.839;HM3
2020-06-12;20:01:00;-0.1494;3.841;HM3
2020-06-12;21:01:00;-0.1511;3.841;HM3
2020-06-12;22:01:00;-0.1537;3.842;HM3
2020-06-12;23:01:00;-0.147;3.844;HM3
2020-06-13;00:01:00;-0.1487;3.847;HM3
2020-06-13;01:01:00;-0.1493;3.848;HM3
2020-06-13;02:01:00;-0.1503;3.851;HM3
2020-06-13;03:01:00;-0.1514;3.855;HM3
2020-06-13;04:01:00;-0.1525;3.858;HM3
2020-06-13;05:01:00;-0.1521;3.863;HM3
2020-06-13;06:01:00;-0.1525;3.867;HM3
2020-06-13;07:01:00;-0.1532;3.871;HM3
2020-06-13;08:01:00;-0.1523;3.874;HM3
2020-06-13;09:01:00;-0.1518;3.877;HM3
2020-06-13;10:01:00;-0.1509;3.88;HM3
2020-06-13;11:01:00;-0.1506;3.881;HM3
2020-06-13;12:01:00;-0.1511;3.886;HM3
2020-06-13;13:01:00;-0.1516;3.887;HM3
2020-06-13;14:01:00;-0.1529;3.889;HM3
2020-06-13;15:01:00;-0.1548;3.891;HM3
2020-06-13;16:01:00;-0.1563;3.895;HM3
2020-06-13;17:01:00;-0.1583;3.897;HM3
2020-06-13;18:01:00;-0.1583;3.9;HM3
2020-06-13;19:01:00;-0.1584;3.901;HM3
2020-06-13;20:01:00;-0.1586;3.902;HM3
2020-06-13;21:01:00;-0.1489;3.904;HM3
2020-06-13;22:01:00;-0.1516;3.907;HM3
2020-06-13;23:01:00;-0.1533;3.908;HM3
2020-06-14;00:01:00;-0.1556;3.911;HM3
2020-06-14;01:01:00;-0.1563;3.914;HM3
2020-06-14;02:01:00;-0.1564;3.917;HM3
2020-06-14;03:01:00;-0.1564;3.92;HM3
2020-06-14;04:01:00;-0.1568;3.923;HM3
2020-06-14;05:01:00;-0.1564;3.928;HM3
2020-06-14;06:01:00;-0.1567;3.933;HM3
2020-06-14;07:01:00;-0.1559;3.938;HM3
2020-06-14;08:01:00;-0.1561;3.943;HM3
2020-06-14;09:01:00;-0.1555;3.948;HM3
2020-06-14;10:01:00;-0.1539;3.951;HM3
2020-06-14;11:01:00;-0.1531;3.955;HM3
2020-06-14;12:01:00;-0.1523;3.957;HM3
2020-06-14;13:01:00;-0.1531;3.962;HM3
2020-06-14;14:01:00;-0.1523;3.966;HM3
2020-06-14;15:01:00;-0.1532;3.967;HM3
2020-06-14;16:01:00;-0.1538;3.969;HM3
2020-06-14;17:01:00;-0.1543;3.971;HM3
2020-06-14;18:01:00;-0.1557;3.971;HM3
2020-06-14;19:01:00;-0.1566;3.973;HM3
2020-06-14;20:01:00;-0.1576;3.975;HM3
2020-06-14;21:01:00;-0.1586;3.977;HM3
2020-06-14;22:01:00;-0.1509;3.979;HM3
2020-06-14;23:01:00;-0.1535;3.983;HM3
2020-06-15;00:01:00;-0.1547;3.985;HM3
2020-06-15;01:01:00;-0.1557;3.989;HM3
2020-06-15;02:01:00;-0.1568;3.992;HM3
2020-06-15;03:01:00;-0.1569;3.996;HM3
2020-06-15;04:01:00;-0.157;3.999;HM3
2020-06-15;05:01:00;-0.157;4.003;HM3
2020-06-15;06:01:00;-0.157;4.006;HM3
2020-06-15;07:01:00;-0.1559;4.01;HM3
2020-06-15;08:01:00;-0.1559;4.015;HM3
2020-06-15;09:01:00;-0.1543;4.018;HM3
2020-06-15;10:01:00;-0.1528;4.023;HM3
2020-06-15;11:01:00;-0.1473;4.027;HM3
2020-06-15;12:01:00;-0.1469;4.031;HM3
2020-06-15;13:01:00;-0.1466;4.034;HM3
2020-06-15;14:01:00;-0.1468;4.038;HM3
2020-06-15;15:01:00;-0.1456;4.042;HM3
2020-06-15;16:01:00;-0.146;4.046;HM3
2020-06-15;17:01:00;-0.1457;4.051;HM3
2020-06-15;18:01:00;-0.1452;4.054;HM3
2020-06-15;19:01:00;-0.1449;4.058;HM3
2020-06-15;20:01:00;-0.1452;4.059;HM3
2020-06-15;21:01:00;-0.1454;4.063;HM3
2020-06-15;22:01:00;-0.145;4.065;HM3
2020-06-15;23:01:00;-0.1458;4.068;HM3
2020-06-16;00:01:00;-0.1464;4.071;HM3
2020-06-16;01:01:00;-0.1466;4.074;HM3
2020-06-16;02:01:00;-0.1468;4.077;HM3
2020-06-16;03:01:00;-0.1462;4.08;HM3
2020-06-16;04:01:00;-0.1466;4.084;HM3
2020-06-16;05:01:00;-0.146;4.088;HM3
2020-06-16;06:01:00;-0.1447;4.094;HM3
2020-06-16;07:01:00;-0.1437;4.099;HM3
2020-06-16;08:01:00;-0.1426;4.104;HM3
2020-06-16;09:01:00;-0.1413;4.108;HM3
2020-06-16;10:01:00;-0.1396;4.112;HM3
2020-06-16;11:01:00;-0.1378;4.116;HM3
2020-06-16;12:01:00;-0.1361;4.119;HM3
2020-06-16;13:01:00;-0.1256;4.123;HM3
2020-06-16;14:01:00;-0.1234;4.126;HM3
2020-06-16;15:01:00;-0.1283;4.128;HM3
2020-06-16;16:01:00;-0.14;4.13;HM3
2020-06-16;17:01:00;-0.1391;4.133;HM3
2020-06-16;18:01:00;-0.1392;4.135;HM3
2020-06-16;19:01:00;-0.1393;4.136;HM3
2020-06-16;20:01:00;-0.1409;4.138;HM3
