Date;Time;LEVEL;TEMPERATURE;Station_ID
2020-06-16;10:01:00;0.0008;5.642;HM2
2020-06-16;11:01:00;0.001;5.647;HM2
2020-06-16;12:01:00;0.001;5.653;HM2
2020-06-16;13:01:00;0.0098;5.659;HM2
2020-06-16;14:01:00;0.0116;5.665;HM2
2020-06-16;15:01:00;0.0064;5.672;HM2
2020-06-16;16:01:00;0.0034;5.679;HM2
2020-06-16;17:01:00;0.0011;5.685;HM2
2020-06-16;18:01:00;0.0001;5.69;HM2
2020-06-16;19:01:00;-0.0002;5.695;HM2
2020-06-16;20:01:00;-0.0005;5.7;HM2
2020-06-16;21:01:00;-0.0007;5.703;HM2
2020-06-16;22:01:00;-0.0018;5.703;HM2
2020-06-16;23:01:00;-0.0054;5.708;HM2
2020-06-17;00:01:00;-0.0054;5.711;HM2
2020-06-17;01:01:00;-0.0054;5.715;HM2
2020-06-17;02:01:00;-0.0052;5.721;HM2
2020-06-17;03:01:00;0.0041;5.726;HM2
2020-06-17;04:01:00;0.002;5.731;HM2
2020-06-17;05:01:00;0.0015;5.738;HM2
2020-06-17;06:01:00;0.0009;5.745;HM2
2020-06-17;07:01:00;0.0006;5.752;HM2
2020-06-17;08:01:00;0.0004;5.758;HM2
2020-06-17;09:01:00;0.0011;5.764;HM2
2020-06-17;10:01:00;0.0019;5.77;HM2
2020-06-17;11:01:00;0.0022;5.777;HM2
2020-06-17;12:01:00;0.0032;5.782;HM2
2020-06-17;13:01:00;0.004;5.787;HM2
2020-06-17;14:01:00;0.0045;5.795;HM2
2020-06-17;15:01:00;0.0055;5.799;HM2
2020-06-17;16:01:00;0.006;5.808;HM2
2020-06-17;17:01:00;0.0062;5.813;HM2
2020-06-17;18:01:00;0.006;5.82;HM2
2020-06-17;19:01:00;0.0126;5.825;HM2
2020-06-17;20:01:00;0.0106;5.83;HM2
2020-06-17;21:01:00;0.0094;5.831;HM2
2020-06-17;22:01:00;0.0079;5.835;HM2
2020-06-17;23:01:00;0.0065;5.838;HM2
2020-06-18;00:01:00;0.0052;5.844;HM2
2020-06-18;01:01:00;0.0038;5.848;HM2
2020-06-18;02:01:00;0.0027;5.854;HM2
2020-06-18;03:01:00;0.002;5.859;HM2
2020-06-18;04:01:00;0.0016;5.865;HM2
2020-06-18;05:01:00;0.0007;5.871;HM2
2020-06-18;06:01:00;0.0008;5.877;HM2
2020-06-18;07:01:00;0.0004;5.883;HM2
2020-06-18;08:01:00;0.0007;5.889;HM2
2020-06-18;09:01:00;0.0011;5.896;HM2
2020-06-18;10:01:00;0.0016;5.903;HM2
2020-06-18;11:01:00;0.0017;5.909;HM2
2020-06-18;12:01:00;0.0023;5.916;HM2
2020-06-18;13:01:00;0.0022;5.922;HM2
2020-06-18;14:01:00;0.002;5.928;HM2
2020-06-18;15:01:00;0.0017;5.935;HM2
2020-06-18;16:01:00;0.0012;5.941;HM2
2020-06-18;17:01:00;0.0009;5.948;HM2
2020-06-18;18:01:00;-0.0001;5.954;HM2
2020-06-18;19:01:00;-0.0016;5.96;HM2
2020-06-18;20:01:00;-0.002;5.966;HM2
2020-06-18;21:01:00;-0.0014;5.969;HM2
2020-06-18;22:01:00;0.0004;5.971;HM2
2020-06-18;23:01:00;0.0015;5.975;HM2
2020-06-19;00:01:00;0.0033;5.98;HM2
2020-06-19;01:01:00;0.0037;5.985;HM2
2020-06-19;02:01:00;0.0041;5.991;HM2
2020-06-19;03:01:00;0.0056;5.996;HM2
2020-06-19;04:01:00;0.007;6.002;HM2
2020-06-19;05:01:00;0.0062;6.01;HM2
2020-06-19;06:01:00;0.0067;6.017;HM2
2020-06-19;07:01:00;0.0063;6.025;HM2
2020-06-19;08:01:00;0.0068;6.034;HM2
2020-06-19;09:01:00;0.0078;6.04;HM2
2020-06-19;10:01:00;0.0096;6.046;HM2
2020-06-19;11:01:00;0.0105;6.053;HM2
2020-06-19;12:01:00;0.0116;6.06;HM2
2020-06-19;13:01:00;0.0116;6.067;HM2
2020-06-19;14:01:00;0.0117;6.074;HM2
2020-06-19;15:01:00;0.0109;6.082;HM2
2020-06-19;16:01:00;0.0104;6.089;HM2
2020-06-19;17:01:00;0.0099;6.097;HM2
2020-06-19;18:01:00;0.0093;6.104;HM2
2020-06-19;19:01:00;0.0084;6.11;HM2
2020-06-19;20:01:00;0.008;6.116;HM2
2020-06-19;21:01:00;0.0081;6.121;HM2
2020-06-19;22:01:00;0.0071;6.119;HM2
2020-06-19;23:01:00;0.0069;6.124;HM2
2020-06-20;00:01:00;0.0063;6.128;HM2
2020-06-20;01:01:00;0.0067;6.133;HM2
2020-06-20;02:01:00;0.0063;6.141;HM2
2020-06-20;03:01:00;0.0062;6.146;HM2
2020-06-20;04:01:00;0.0062;6.153;HM2
2020-06-20;05:01:00;0.0058;6.162;HM2
2020-06-20;06:01:00;0.0058;6.169;HM2
2020-06-20;07:01:00;0.0058;6.178;HM2
2020-06-20;08:01:00;0.0062;6.187;HM2
2020-06-20;09:01:00;0.0064;6.193;HM2
2020-06-20;10:01:00;0.0067;6.2;HM2
2020-06-20;11:01:00;0.0068;6.207;HM2
2020-06-20;12:01:00;0.007;6.214;HM2
2020-06-20;13:01:00;0.0067;6.221;HM2
2020-06-20;14:01:00;0.0064;6.228;HM2
2020-06-20;15:01:00;0.0062;6.236;HM2
2020-06-20;16:01:00;0.0063;6.243;HM2
2020-06-20;17:01:00;0.0131;6.251;HM2
2020-06-20;18:01:00;0.0163;6.257;HM2
2020-06-20;19:01:00;0.0171;6.265;HM2
2020-06-20;20:01:00;0.0171;6.269;HM2
2020-06-20;21:01:00;0.0176;6.277;HM2
2020-06-20;22:01:00;0.0158;6.276;HM2
2020-06-20;23:01:00;0.0146;6.281;HM2
2020-06-21;00:01:00;0.013;6.287;HM2
2020-06-21;01:01:00;0.0122;6.292;HM2
2020-06-21;02:01:00;0.0114;6.298;HM2
2020-06-21;03:01:00;0.0107;6.304;HM2
2020-06-21;04:01:00;0.0106;6.31;HM2
2020-06-21;05:01:00;0.0114;6.319;HM2
2020-06-21;06:01:00;0.0113;6.328;HM2
2020-06-21;07:01:00;0.0105;6.337;HM2
2020-06-21;08:01:00;0.0111;6.344;HM2
2020-06-21;09:01:00;0.0114;6.35;HM2
2020-06-21;10:01:00;0.0124;6.357;HM2
2020-06-21;11:01:00;0.015;6.364;HM2
2020-06-21;12:01:00;0.0174;6.371;HM2
2020-06-21;13:01:00;0.0146;6.377;HM2
2020-06-21;14:01:00;0.0125;6.385;HM2
2020-06-21;15:01:00;0.0119;6.394;HM2
2020-06-21;16:01:00;0.0118;6.399;HM2
2020-06-21;17:01:00;0.0117;6.406;HM2
2020-06-21;18:01:00;0.0102;6.413;HM2
2020-06-21;19:01:00;0.0126;6.419;HM2
2020-06-21;20:01:00;0.0167;6.424;HM2
2020-06-21;21:01:00;0.0225;6.428;HM2
2020-06-21;22:01:00;0.015;6.432;HM2
2020-06-21;23:01:00;0.014;6.437;HM2
2020-06-22;00:01:00;0.0138;6.442;HM2
2020-06-22;01:01:00;0.0139;6.448;HM2
2020-06-22;02:01:00;0.015;6.454;HM2
2020-06-22;03:01:00;0.0176;6.461;HM2
2020-06-22;04:01:00;0.0189;6.467;HM2
2020-06-22;05:01:00;0.02;6.476;HM2
